item_id,track_id,genre,continent
957,2411,Pop,North America
958,2412,Pop,North America
959,2413,Rock,Europe
960,2415,Pop,North America
961,2416,Electronic/dance,North America
962,2417,Electronic/dance,Europe
963,2420,Pop,North America
964,2421,Pop,South America
965,2424,Electronic/dance,North America
966,2427,Pop,North America
967,2440,Rock,North America
968,2443,Pop,North America
969,2449,Pop,Asia
970,2450,Rap/hip-hop,North America
971,2452,Pop,Asia
972,2455,Pop,North America
973,2456,Pop,North America
974,2458,Pop,Asia
975,2459,Pop,North America
976,2473,Pop,Asia
977,2474,Pop,Asia
978,2476,Pop,Asia
979,2482,Rap/hip-hop,North America
980,2483,Pop,North America
981,2484,Pop,North America
982,2485,Pop,North America
983,2486,Pop,North America
984,2487,Pop,North America
985,2488,Pop,North America
986,2491,Pop,Asia
987,2492,Pop,Europe
988,2498,Pop,Asia
989,2501,Pop,Asia
990,2507,Pop,North America
991,2508,Pop,North America
992,2509,Pop,North America
993,2513,Rap/hip-hop,North America
994,2515,Pop,North America
995,2518,Pop,Asia
996,2522,Pop,Asia
997,2527,Pop,North America
998,2528,Pop,North America
999,2530,Pop,North America
1000,2535,Pop,North America
1001,2537,Pop,North America
1002,2544,Pop,North America
1003,2552,Pop,North America
1004,2553,Rock,Europe
1005,2562,Pop,North America
1006,2564,Pop,North America
1007,2566,Pop,North America
1008,2567,Rock,Europe
1009,2569,Pop,North America
1010,2573,Pop,North America
1011,2574,Pop,North America
1012,2577,Pop,North America
1013,2579,Pop,North America
1014,2580,Pop,North America
1015,2581,Rock,Europe
1016,2584,Rock,Europe
1017,2585,Rock,Europe
1018,2586,Pop,North America
1019,2587,Pop,North America
1020,2590,Pop,Europe
1021,2591,Pop,North America
1022,2594,Pop,North America
1023,2596,Rock,Europe
1024,2599,Rock,Europe
1025,2601,Pop,North America
1026,2602,Pop,North America
1027,2603,Rock,Europe
1028,2606,Rock,Europe
1029,2607,Pop,Europe
1030,2612,Pop,North America
1031,2615,Pop,North America
1032,2616,Pop,North America
1033,2617,Rock,Europe
1034,2621,Pop,North America
1035,2622,Pop,North America
1036,2627,Pop,Europe
1037,2629,Electronic/dance,North America
1038,2632,Pop,Europe
1039,2634,Rock,Europe
1040,2636,Rock,Europe
1041,2643,Rock,North America
1042,2644,Rock,Europe
1043,2648,Rock,Europe
1044,2649,Electronic/dance,Europe
1045,2652,Rock,North America
1046,2656,Heavy metal,North America
1047,2657,Rock,North America
1048,2658,Rock,Europe
1049,2664,Rock,Europe
1050,2666,Pop,Oceania
1051,2669,Electronic/dance,Oceania
1052,2685,Rock,North America
1053,2686,Electronic/dance,North America
1054,2687,Pop,North America
1055,2688,Rock,Europe
1056,2692,Rock,Europe
1057,2694,Rock,North America
1058,2699,Pop,Oceania
1059,2701,Rock,Europe
1060,2705,Rock,Europe
1061,2707,Rock,Europe
1062,2708,Rap/hip-hop,North America
1063,2713,Rock,Europe
1064,2720,Rock,North America
1065,2723,Rock,North America
1066,2726,Rock,North America
1067,2728,Rock,Europe
1068,2729,Pop,Europe
1069,2730,Pop,North America
1070,2731,Pop,North America
1071,2735,Pop,Oceania
1072,2738,Pop,North America
1073,2739,Pop,Oceania
1074,2741,Pop,Europe
1075,2744,Pop,Oceania
1076,2747,Pop,North America
1077,2752,Pop,Oceania
1078,2760,Country,North America
1079,2769,Pop,North America
1080,2770,Country,North America
1081,2771,Rap/hip-hop,North America
1082,2774,Pop,North America
1083,2775,Pop,Oceania
1084,2777,Rock,North America
1085,2779,Pop,North America
1086,2780,Pop,Asia
1087,2782,Pop,North America
1088,2784,Pop,North America
1089,2786,Pop,North America
1090,2793,Pop,North America
1091,2794,Jazz,Europe
1092,2800,Rap/hip-hop,North America
1093,2803,Pop,North America
1094,2804,Pop,North America
1095,2806,Country,North America
1096,2810,Pop,Asia
